강좌번호,이름,중간고사,기말고사,퀴즈,일반과제,웹과제,출석,합산,학점
101,Stud0001,24.5,11.5,3.7,2.3,5.8,6,53.8,C0
101,Stud0002,32.5,30.5,8,7,8,8,94,A+
101,Stud0003,21.5,8.5,4.8,4.7,7,7,53.5,C0
101,Stud0004,16,28,5.5,7,5.6,8,70.1,B+
101,Stud0005,17.5,16,5.1,4.7,7.8,6,57.1,C+
101,Stud0006,19.5,11.5,6.5,7,6.5,5,56,C+
101,Stud0007,22,23.5,7.5,7,7.4,8,75.4,A0
101,Stud0008,18,14,4.3,7,5.3,8,56.6,C+
101,Stud0009,18.5,0,2.8,4.7,6.6,7,39.6,F
101,Stud0010,16,9,3.8,7,3.9,7,46.7,D+
101,Stud0011,11.5,0,2.2,4.7,4.3,5,27.7,F
101,Stud0012,24.5,21,5.6,7,7.9,8,74,B+
101,Stud0013,22.5,17,6.1,7,7.7,7,67.3,B+
101,Stud0014,27.5,23.5,7.4,7,7.3,8,80.7,A0
101,Stud0015,29.5,25.5,7.7,7,7.9,8,85.6,A0
101,Stud0016,26,22.5,6.6,7,8,8,78.1,A0
101,Stud0017,24,27,7.5,7,8,8,81.5,A0
101,Stud0018,26,13,6.4,4.7,7.7,8,65.8,B0
101,Stud0019,26.5,27,7.2,7,6.8,8,82.5,A0
101,Stud0020,33.5,32,7.4,7,8,8,95.9,A+
101,Stud0021,27,28.5,6.8,7,7.9,7,84.2,A0
101,Stud0022,27.5,31.5,7.6,7,7.3,7,87.9,A+
101,Stud0023,20.5,16,2.1,0,5.7,7,51.3,C0
101,Stud0024,31.5,19.5,5,7,7.8,8,78.8,A0
101,Stud0025,14.5,7.5,3.7,2.3,3.3,6,37.3,F
101,Stud0026,23.5,19,6.9,4.7,6.9,6,67,B0
101,Stud0027,27.5,20,5.8,7,5.9,8,74.2,B+
101,Stud0028,30,28,6.7,7,7,8,86.7,A+
101,Stud0029,12,7.5,2.9,4.7,4.4,8,39.5,F
101,Stud0030,24.5,27,4.2,7,8,8,78.7,A0
101,Stud0031,21.5,26,6.9,7,7.9,8,77.3,A0
101,Stud0032,24,7.5,3.9,4.7,4,8,52.1,C0
101,Stud0033,21.5,24.5,6.1,7,7.6,8,74.7,B+
101,Stud0034,21.5,18.5,3.7,4.7,6,7,61.4,B0
101,Stud0035,22.5,27,0.8,7,6.5,8,71.8,B+
101,Stud0036,21,29.5,1.3,7,7.5,8,74.3,B+
101,Stud0037,18.5,14.5,6.4,7,7.1,8,61.5,B0
101,Stud0038,16.5,10.5,6.7,7,8,8,56.7,C+
101,Stud0039,30.5,24,5.5,7,7.2,8,82.2,A0
101,Stud0040,19,26,6.9,7,6.6,8,73.5,B+
102,Stud0041,29,31.5,6.8,7,8,8,90.3,A+
102,Stud0042,31.5,31.5,6.2,7,6.2,8,90.4,A+
102,Stud0043,0,0,1,0,-1,0,0,F
102,Stud0044,23,15,5.2,7,8,8,66.2,B+
102,Stud0045,19,26.5,5.1,7,8,7,72.6,B+
102,Stud0046,26.5,24,5.9,7,6.7,8,78.1,A0
102,Stud0047,23,15,4.5,5,4.4,4,55.9,B0
