"School","Women","Men","Gap"
"1","MIT",94,152,58
"2","Stanford",96,151,55
"3","Harvard",112,165,53
"4","U.Penn",92,141,49
"5","Princeton",90,137,47
"6","Chicago",78,118,40
"7","Georgetown",94,131,37
"8","Tufts",76,112,36
"9","Yale",79,114,35
"10","Columbia",86,119,33
"11","Duke",93,124,31
"12","Dartmouth",84,114,30
"13","NYU",67,94,27
"14","Notre Dame",73,100,27
"15","Cornell",80,107,27
"16","Michigan",62,84,22
"17","Brown",72,92,20
"18","Berkeley",71,88,17
"19","Emory",68,82,14
"20","UCLA",64,78,14
"21","SoCal",72,81,9
