"Country","Month","Year","Lat","Lon","Value"
"1","Guinea",3,14,9.95,-9.7,122
"2","Guinea",4,14,9.95,-9.7,224
"3","Guinea",5,14,9.95,-9.7,291
"4","Guinea",6,14,9.95,-9.7,413
"5","Guinea",7,14,9.95,-9.7,460
"6","Guinea",8,14,9.95,-9.7,771
"7","Guinea",9,14,9.95,-9.7,1022
"8","Guinea",10,14,9.95,-9.7,NA
"9","Guinea",11,14,9.95,-9.7,NA
"10","Guinea",12,14,9.95,-9.7,NA
"11","Liberia",4,14,6.43,-9.43,35
"12","Liberia",5,14,6.43,-9.43,13
"13","Liberia",6,14,6.43,-9.43,107
"14","Liberia",7,14,6.43,-9.43,329
"15","Liberia",8,14,6.43,-9.43,1395
"16","Liberia",9,14,6.43,-9.43,3362
"17","Liberia",10,14,6.43,-9.43,NA
"18","Liberia",11,14,6.43,-9.43,NA
"19","Liberia",12,14,6.43,-9.43,NA
"20","Mali",10,14,17.57,-4,1
"21","Mali",11,14,17.57,-4,8
"22","Senegal",8,14,14.5,-14.45,1
"23","Senegal",9,14,14.5,-14.45,3
"24","Sierra Leone",5,14,8.46,-11.78,50
"25","Sierra Leone",6,14,8.46,-11.78,239
"26","Sierra Leone",7,14,8.46,-11.78,533
"27","Sierra Leone",8,14,8.46,-11.78,1216
"28","Sierra Leone",9,14,8.46,-11.78,1940
"29","Sierra Leone",10,14,8.46,-11.78,NA
"30","Sierra Leone",11,14,8.46,-11.78,NA
"31","Sierra Leone",12,14,8.46,-11.78,NA
