"Hrapx","Hrapy","Lat","Lon","Globvalue"
"1",272.3333,670.25,48.4113,-112.8352,0.0875
"2",1546.5,195.1667,18.0057,-65.804,0.0892
"3",262.25,674.25,48.6163,-113.4784,0.0908
"4",252.5,674.6667,48.5379,-114.0702,0.0933
"5",302.1667,671.4167,48.5843,-111.0188,0.0942
"6",305.75,670.0833,48.612,-110.7939,0.095
"7",327.5833,668.8333,48.6286,-109.4629,0.095
"8",238.9167,677,48.6068,-114.9123,0.095
"9",270.0833,673.4167,48.4489,-112.9705,0.0958
"10",254.5,676,48.6548,-113.965,0.0958
"11",1516.75,195.1667,18.5721,-66.5401,0.0958
"12",293.25,669.8333,48.3734,-111.5245,0.0958
"13",1580.75,207.5833,17.6398,-64.7246,0.0958
"14",283.25,671.8333,48.5765,-112.1932,0.0975
"15",264.0833,671.75,48.4407,-113.3159,0.0983
"16",407.1667,670.5833,48.2286,-104.5863,0.0992
"17",279.5833,673.5833,48.5675,-112.402,0.1
"18",279.3333,675.75,48.6139,-112.4357,0.1
"19",337.9167,669.3333,48.4434,-108.827,0.1
"20",363.5833,664.6667,48.3104,-107.2529,0.1008
"21",292.9167,671.4167,48.4967,-111.5762,0.1008
"22",270.5833,672,48.6618,-112.9589,0.1017
"23",1548.8333,207.25,18.2464,-65.5043,0.1017
"24",247.75,678.5833,48.7428,-114.3986,0.1025
"25",256.9167,674.9167,48.5188,-113.779,0.1025
"26",347.6667,665.75,48.3049,-108.222,0.1033
"27",346.0833,663.4167,48.3501,-108.3195,0.1042
"28",228.4167,679.6667,48.6956,-115.575,0.1042
"29",364.4167,665.8333,48.4519,-107.2011,0.105
"30",1578.9167,207.5833,17.6752,-64.7686,0.105
"31",277.6667,671,48.5096,-112.524,0.105
"32",1526.9167,202.0833,18.5434,-66.1488,0.1058
"33",367.9167,672.0833,48.4151,-106.9957,0.1058
"34",267.6667,678.1667,48.7171,-113.1614,0.1067
"35",263.8333,672.8333,48.4799,-113.3403,0.1067
"36",284.25,676.0833,48.5001,-112.1144,0.1067
"37",286.9167,674.6667,48.6321,-111.9672,0.1067
"38",247.75,676.1667,48.4586,-114.3365,0.1067
"39",326.5,668.4167,48.4705,-109.5351,0.1075
"40",300.3333,666.3333,48.4019,-111.0946,0.1075
"41",320.5833,670.25,48.6508,-109.8952,0.1075
"42",284.1667,671.5,48.4883,-112.1043,0.1075
"43",359,667.9167,48.8323,-107.557,0.1075
"44",271,671.3333,48.623,-112.9262,0.1075
"45",330,665.8333,48.4469,-109.3029,0.1083
"46",818.8333,604.6667,42.5242,-82.3062,0.1092
"47",241.6667,679.5,48.7143,-114.772,0.1092
"48",1546.25,206.3333,18.2748,-65.586,0.1092
"49",309.3333,668.9167,48.3774,-110.5493,0.11
"50",286.25,674.3333,48.6207,-112.0084,0.11
"51",327.25,670.9167,48.618,-109.4976,0.11
"52",273.8333,674,48.527,-112.7477,0.11
"53",295.3333,672.4167,48.5329,-111.4423,0.11
"54",307.1667,673.8333,48.7814,-110.7543,0.1108
"55",321.6667,669.4167,48.5298,-109.8247,0.1108
"56",279.6667,677.1667,48.667,-112.4248,0.1108
"57",253.0833,677.6667,48.5873,-114.036,0.1108
"58",269.25,678.0833,48.6529,-113.0624,0.1117
"59",337.9167,667.6667,48.5892,-108.8336,0.1117
"60",295.1667,670.25,48.4555,-111.4373,0.1117
"61",398.25,666.9167,48.4054,-105.1558,0.1117
"62",331.5,671,48.7923,-109.256,0.1117
"63",316.5833,669.5833,48.5356,-110.1323,0.1117
"64",443.5,254.25,33.1382,-103.1552,0.1125
"65",291.0833,670.5,48.4772,-111.6865,0.1125
"66",276.1667,676.8333,48.5789,-112.6311,0.1133
"67",313.1667,672.8333,48.4827,-110.3438,0.1133
"68",339.4167,660.9167,48.4282,-108.7302,0.1133
"69",314.3333,671.0833,48.574,-110.2779,0.1142
"70",363.75,666.6667,48.4914,-107.244,0.1142
"71",426.5,665.25,48.326,-103.4189,0.1142
"72",297.0833,672.5,48.5478,-111.3386,0.1142
"73",340.1667,664.1667,48.5113,-108.6771,0.1142
"74",315.4167,673.1667,48.5409,-110.2089,0.115
"75",460.3333,641.3333,47.3142,-101.4215,0.115
"76",306.4167,673.0833,48.4311,-110.7551,0.115
"77",238.1667,679.75,48.7046,-114.9824,0.115
"78",254.8333,676.5,48.7764,-113.9575,0.115
"79",293.1667,673.0833,48.7103,-111.6019,0.1158
"80",428.4167,666.4167,48.2876,-103.3003,0.1158
"81",556.5,343.9167,35.5421,-97.9102,0.1158
"82",308.4167,670.5,48.6712,-110.6605,0.1158
"83",290.1667,672.3333,48.6695,-111.7772,0.1158
"84",266.1667,675.5833,48.5818,-113.2292,0.1158
"85",292.25,677.75,48.6595,-111.6686,0.1167
"86",238.25,677.9167,48.544,-114.9297,0.1167
"87",306.8333,673.25,48.5708,-110.7508,0.1167
"88",236.6667,676.0833,48.6454,-115.0434,0.1167
"89",277.3333,672.25,48.4382,-112.5288,0.1175
"90",251.25,679.75,48.6264,-114.1635,0.1183
"91",294.5,671.1667,48.5246,-111.486,0.1183
"92",265.0833,679,48.7077,-113.3258,0.1183
"93",331.3333,667.5,48.3941,-109.2142,0.1183
"94",322.9167,668.75,48.5497,-109.7527,0.1192
"95",293,671.4167,48.4864,-111.5763,0.12
"96",381.1667,665.6667,48.2761,-106.1651,0.12
"97",251.0833,679.25,48.6352,-114.1692,0.12
"98",1564.5,203,17.8406,-65.2098,0.1208
"99",292.3333,674.75,48.6903,-111.6399,0.1208
"100",1534.5833,201.75,18.3901,-65.9655,0.1208
"101",302,671.8333,48.6094,-111.0352,0.1208
"102",240.5,681,48.7603,-114.8586,0.1217
"103",238.3333,679,48.6762,-114.9668,0.1217
"104",372.0833,664,48.3379,-106.7166,0.1225
"105",395.6667,667.5,48.3164,-105.2904,0.1225
"106",344.3333,665.8333,48.3872,-108.4204,0.1225
"107",307.75,671.0833,48.4941,-110.6824,0.1225
"108",254.5,680.5,48.6646,-113.9758,0.1225
"109",374.5,661.0833,48.4684,-106.5872,0.1233
"110",236.1667,679.4167,48.7019,-115.106,0.1233
"111",545.8333,70.0833,26.1065,-99.5243,0.1233
"112",272.0833,676.8333,48.7491,-112.9056,0.1242
"113",258.1667,681.9167,48.7534,-113.7663,0.1242
"114",411.6667,661.0833,48.1841,-104.3351,0.1242
"115",295,676.0833,48.5969,-111.4648,0.1242
"116",222,682.75,48.7338,-115.9903,0.1242
"117",382.4167,635.8333,47.2792,-106.0496,0.1242
"118",228.3333,683,48.8141,-115.622,0.125
"119",238.1667,678.9167,48.6926,-114.9777,0.125
"120",324.25,668.75,48.5517,-109.6678,0.125
"121",426.5,658.25,48.1434,-103.4338,0.125
"122",262.5,677.5833,48.5647,-113.4651,0.1258
"123",246.3333,679.1667,48.7646,-114.4896,0.1258
"124",385.4167,667.3333,48.1351,-105.9168,0.1258
"125",329.3333,667.4167,48.5079,-109.3547,0.1258
"126",239.5,679.4167,48.6869,-114.9038,0.1267
"127",251.9167,676.6667,48.5584,-114.0953,0.1267
"128",245,679.3333,48.7566,-114.57,0.1275
"129",687.4167,428.1667,37.4652,-91.3571,0.1275
"130",307.8333,676.25,48.9927,-110.7233,0.1275
"131",416.3333,640.75,47.2982,-104.0397,0.1283
"132",414,647,47.5676,-104.1728,0.1283
"133",256.8333,681,48.725,-113.844,0.1292
"134",258.0833,678.75,48.8045,-113.7762,0.1292
"135",247.25,683.0833,48.8522,-114.4725,0.1292
"136",250,682.5,48.7372,-114.2675,0.1292
"137",292.25,676.4167,48.6049,-111.6339,0.1292
"138",824.0833,592.4167,42.4044,-82.2116,0.1292
"139",370.3333,637.4167,47.3404,-106.7632,0.1292
"140",250.5,682.1667,48.791,-114.2645,0.13
"141",249.5,679.6667,48.7685,-114.3041,0.13
"142",1548.6667,206.1667,18.2244,-65.5302,0.13
"143",326.1667,671.8333,48.7516,-109.5911,0.13
"144",254,674.5833,48.5938,-113.9821,0.13
"145",420,632.1667,47.1753,-103.8267,0.13
"146",283.4167,674.5,48.657,-112.1778,0.13
"147",425.6667,45.1667,26.0776,-104.0708,0.13
"148",327.1667,668.8333,48.4088,-109.4584,0.1308
"149",308.8333,669.5833,48.6303,-110.6296,0.1308
"150",246.1667,678.75,48.7406,-114.4957,0.1308
"151",311.8333,671.1667,48.4223,-110.4153,0.1308
"152",513.5833,342.3333,35.5769,-99.8334,0.1308
"153",406.6667,667,48.3661,-104.6272,0.1308
"154",388.9167,640.0833,47.3537,-105.6631,0.1308
"155",472.0833,663.5833,48.1918,-100.6586,0.1317
"156",249.75,675.0833,48.5989,-114.2425,0.1325
"157",263.5833,677.3333,48.6431,-113.3999,0.1325
"158",467,205,31.3084,-102.2561,0.1325
"159",294.9167,677.4167,48.7125,-111.5044,0.1325
"160",338,671,48.37,-108.8018,0.1325
"161",374.0833,633.1667,47.2428,-106.529,0.1325
"162",690.75,569.9167,42.8724,-89.2845,0.1325
"163",344,667.5833,48.3601,-108.4463,0.1325
"164",823.5833,590.75,42.3667,-82.2696,0.1325
"165",375.25,637.5,47.3862,-106.4515,0.1333
"166",360.5833,664.8333,48.3439,-107.441,0.1342
"167",353.6667,637.5833,47.2624,-107.7563,0.1342
"168",302.25,670.5833,48.5612,-111.0102,0.135
"169",333.3333,667.9167,48.591,-109.1124,0.135
"170",256.4167,683.5,48.7459,-113.8846,0.1358
"171",387.3333,302.5,34.9997,-105.5827,0.1358
"172",389.9167,659.4167,48.0956,-105.6414,0.1358
"173",631.5833,564.8333,43.0947,-92.5126,0.1367
"174",241.5,679.4167,48.7232,-114.7817,0.1367
"175",1535.0833,205.5833,18.4706,-65.8761,0.1367
"176",448.4167,602.4167,45.6032,-102.2368,0.1367
"177",1541.0833,195.75,18.122,-65.9253,0.1367
"178",438.3333,666.25,48.1714,-102.6957,0.1375
"179",358.1667,669.5833,48.4733,-107.5809,0.1375
"180",451.0833,632,47.1659,-102.0006,0.1375
"181",393.9167,636.5,47.2393,-105.3669,0.1383
"182",395.75,663.0833,48.2226,-105.2984,0.1383
"183",376.8333,667,48.4341,-106.4434,0.1383
"184",283.4167,675.8333,48.6401,-112.1871,0.1383
"185",273.9167,679.6667,48.6985,-112.794,0.1383
"186",243.6667,681.25,48.7988,-114.6704,0.1392
"187",365.5833,635.0833,47.2496,-107.0409,0.1392
"188",232,682.9167,48.8086,-115.3914,0.1392
"189",406.0833,646.0833,47.5566,-104.6427,0.14
"190",223.0833,682.75,48.8202,-115.9352,0.14
"191",245.8333,682,48.6824,-114.513,0.14
"192",416.3333,206.5833,31.5178,-104.3417,0.14
"193",822.3333,593.75,42.4424,-82.2707,0.14
"194",288.1667,671.75,48.521,-111.8688,0.14
"195",263.4167,683.5,48.9868,-113.4915,0.14
"196",533.8333,18.75,25.0967,-100.1817,0.14
"197",191.4167,688.3333,48.7734,-117.8971,0.14
"198",452.3333,259.6667,33.2804,-102.7694,0.1408
"199",346.8333,663.5833,48.2596,-108.2491,0.1408
"200",424.8333,638.6667,47.3466,-103.5242,0.1417
"201",493.25,59.75,26.1424,-101.5162,0.1417
"202",838.0833,605.75,42.6822,-81.2741,0.1417
"203",240.6667,680.3333,48.8177,-114.8497,0.1417
"204",858,241.75,30.1717,-86.3921,0.1417
"205",423.1667,637.0833,47.3732,-103.6322,0.1417
"206",401.25,635.4167,47.1903,-104.9346,0.1417
"207",453.0833,662.6667,47.926,-101.8254,0.1417
"208",808.5,227.1667,30.1247,-88.4539,0.1417
"209",370.8333,664.4167,48.4257,-106.8099,0.1425
"210",427.4167,666.4167,48.2033,-103.3576,0.1425
"211",362.5,631.8333,47.1789,-107.2273,0.1425
"212",301.5,676.8333,48.9131,-111.121,0.1425
"213",437.6667,249.3333,33.0264,-103.4227,0.1425
"214",661.9167,70,25.6424,-95.2692,0.1433
"215",464.5,635.75,47.1397,-101.1964,0.1433
"216",444,263.5833,33.4581,-103.1201,0.1433
"217",264.5,680.0833,48.8976,-113.398,0.1433
"218",293,673.1667,48.6374,-111.5868,0.1433
"219",376.3333,668.9167,48.33,-106.4622,0.1442
"220",490.5,273.5,33.5895,-101.1179,0.1442
"221",408.3333,638.9167,47.3339,-104.5205,0.1442
"222",287.5,679.1667,48.9531,-111.9909,0.1442
"223",399.9167,639,47.3827,-105.0258,0.1442
"224",252.6667,676,48.5045,-114.0404,0.1442
"225",272,680.8333,48.9754,-112.9494,0.145
"226",661.25,450.6667,38.173,-92.3341,0.145
"227",282,677.8333,48.8654,-112.309,0.145
"228",260.3333,681.1667,48.8373,-113.6576,0.145
"229",327.8333,626.75,47.136,-109.2687,0.1458
"230",552.0833,102.6667,26.942,-99.1512,0.1458
"231",230.1667,686.6667,48.9484,-115.5437,0.1458
"232",233.1667,683.9167,48.8233,-115.3296,0.1458
"233",246.9167,683.5,48.7629,-114.464,0.1458
"234",647.0833,423.9167,37.5182,-93.2508,0.1458
"235",428.6667,658.8333,48.1067,-103.2952,0.1458
"236",686.0833,425.4167,37.263,-91.5086,0.1458
"237",437.0833,50.25,26.1996,-103.6461,0.1458
"238",220.5833,684.8333,48.7842,-116.0988,0.1467
"239",439.9167,659.5,48.2624,-102.6142,0.1467
"240",565.6667,69.6667,26.0428,-98.795,0.1467
"241",352.8333,635,47.3798,-107.8161,0.1467
"242",393.0833,635.9167,47.2358,-105.4197,0.1467
"243",421.1667,637.5833,47.4072,-103.75,0.1467
"244",574.0833,432.0833,38.1362,-96.5771,0.1467
"245",275.1667,679.3333,48.7204,-112.715,0.1475
"246",429,660.4167,48.0568,-103.2841,0.1475
"247",669.4167,420.0833,37.4462,-92.2073,0.1475
"248",380,647.5833,47.5858,-106.2096,0.1475
"249",431.6667,639.6667,47.321,-103.1179,0.1475
"250",331.25,671.5,48.4656,-109.2425,0.1475
"251",643.5,420.9167,37.5017,-93.4414,0.1483
"252",648.5,208.0833,30.5432,-94.9042,0.1483
"253",317.0833,670,48.3626,-110.0782,0.1483
"254",419.5,661.75,48.1752,-103.8364,0.1483
"255",327.0833,671.25,48.3988,-109.4887,0.1483
"256",287,674.4167,48.6024,-111.9605,0.1492
"257",402,635.25,47.259,-104.88,0.1492
"258",361.75,637.75,47.3272,-107.2698,0.1492
"259",308.1667,671.5833,48.5551,-110.6613,0.1492
"260",476.4167,51.5,26.1658,-102.1939,0.1492
"261",254.6667,680.0833,48.6741,-113.9618,0.1492
"262",860.1667,606,42.4065,-80.2027,0.1492
"263",236.0833,681.9167,48.7878,-115.132,0.15
"264",370,633.8333,47.2248,-106.7814,0.15
"265",393.3333,227.6667,32.3602,-105.2997,0.15
"266",531.75,549.8333,43.6107,-97.8874,0.15
"267",388.8333,663.25,48.3838,-105.7177,0.15
"268",376.8333,653.5833,47.6087,-106.3988,0.1508
"269",703.0833,571.75,42.8346,-88.615,0.1508
"270",239.1667,681.3333,48.7949,-114.9415,0.1508
"271",254.9167,675.9167,48.6792,-113.9401,0.1508
"272",432.4167,210,31.5878,-103.6724,0.1508
"273",661.5,417.75,37.5398,-92.5908,0.1508
"274",753.3333,582.6667,42.9067,-85.9026,0.1508
"275",381.8333,638.0833,47.3045,-106.0798,0.1508
"276",386.75,657.75,48.1812,-105.828,0.1508
"277",285.8333,676.9167,48.7709,-112.0478,0.1517
"278",411.8333,645.1667,47.5498,-104.3095,0.1517
"279",344.8333,668.6667,48.3531,-108.3783,0.1517
"280",221.9167,684.8333,48.8018,-116.0174,0.1525
"281",702.25,454.9167,38.2129,-90.3635,0.1525
"282",481.6667,324,35.3593,-101.3396,0.1525
"283",534.9167,20.8333,25.1615,-100.1363,0.1525
"284",254.25,681.75,48.7795,-114.0082,0.1525
"285",244.6667,677,48.6847,-114.5663,0.1525
"286",1578.0833,209.0833,17.7258,-64.7581,0.1525
"287",254.9167,681.25,48.7311,-113.9594,0.1525
"288",282.0833,679.1667,48.8718,-112.3193,0.1525
"289",706.5833,82.1667,25.6608,-93.5723,0.1525
"290",796.25,600.9167,42.7682,-83.4786,0.1525
"291",234.0833,684.6667,48.9046,-115.2849,0.1525
"292",301.8333,669.5833,48.3228,-110.995,0.1525
"293",228.5,683.4167,48.8112,-115.6077,0.1525
"294",410.75,662.3333,48.2195,-104.3755,0.1525
"295",364.75,667.8333,48.2681,-107.173,0.1533
"296",245.1667,685.1667,48.9384,-114.6171,0.1533
"297",397.3333,634,47.2827,-105.1664,0.1533
"298",678.0833,72.5833,25.6789,-94.6685,0.1533
"299",414.6667,640.75,47.3766,-104.1107,0.1542
"300",464.5833,642.4167,47.364,-101.1642,0.1542
"301",250.75,681.9167,48.9363,-114.2524,0.1542
"302",259.5833,679.4167,48.8559,-113.6939,0.1542
"303",401.4167,632.75,47.1511,-104.9334,0.1542
"304",291,677,48.8737,-111.7622,0.1542
"305",206.8333,690.0833,49.0252,-117.0046,0.1542
"306",448.0833,667.75,48.2364,-102.1024,0.1542
"307",249.0833,680,48.827,-114.3279,0.155
"308",790.8333,581.6667,42.5185,-84.0342,0.155
"309",270.75,678.5,48.6476,-112.975,0.155
"310",642.9167,421.4167,37.4841,-93.4655,0.155
"311",385.5,636.9167,47.2279,-105.8641,0.155
"312",246.8333,680.3333,48.8433,-114.4687,0.1558
"313",833.1667,584.25,42.0809,-81.9434,0.1558
"314",397.5833,633.3333,47.1692,-105.1647,0.1558
"315",322,678.8333,49.0336,-109.8813,0.1558
"316",394.4167,650.6667,47.5532,-105.3371,0.1558
"317",385.4167,666.5833,48.0853,-105.905,0.1558
"318",1514.5833,194.25,18.5909,-66.6124,0.1567
"319",520.8333,631.1667,46.2422,-97.9623,0.1567
"320",192,690.0833,48.8302,-117.8838,0.1567
"321",1546.6667,203.6667,18.2046,-65.6295,0.1567
"322",603.3333,451.5,38.158,-95.1312,0.1567
"323",360.5833,635.6667,47.3308,-107.3502,0.1567
"324",809.9167,498.5,39.3468,-84.6352,0.1567
"325",389.9167,636.0833,47.2756,-105.6123,0.1567
"326",443.4167,206,31.483,-103.2315,0.1567
"327",406,636.9167,47.3572,-104.6443,0.1567
"328",430.75,642.5,47.417,-103.192,0.1567
"329",467.0833,660.25,48.1383,-100.9717,0.1567
"330",724,425.5,37.5099,-89.6538,0.1575
