Order,Continent,Nations,iso_code,Date,TV,PV,PFV,ND,Pop,Rat
16,Asia,Afghanistan,AFG,2021-08-20,1201286,770542,430744,7,40094444,1.921817397
135,Europe,Albania,ALB,2021-10-08,1789592,960652,828940,12,2871380,33.45610821
138,Africa,Algeria,DZA,2021-09-25,14082920,6017036,4032942,10,44830504,13.42174516
158,Europe,Andorra,AND,2021-09-26,102032,54312,47720,0,77355,70.2113632
181,Africa,Angola,AGO,2021-09-26,3134137,2127405,1006732,16,34237452,6.213677934
200,North America,Anguilla,AIA,2021-10-01,18704,9548,9156,0,15117,63.16068003
251,North America,Antigua and Barbuda,ATG,2021-10-06,97831,53958,43873,4,98938,54.5371849
509,South America,Argentina,ARG,2021-10-09,53820006,30222669,23673529,0,45721876,66.10111317
523,Asia,Armenia,ARM,2021-09-26,408535,264695,143840,12,2969473,8.913871249
676,North America,Aruba,ABW,2021-10-09,157356,81761,75595,0,107204,76.26674378
809,Oceania,Australia,AUS,2021-10-09,30540757,17657076,12883681,16,25870723,68.25118881
1076,Europe,Austria,AUT,2021-10-09,10948111,5786193,5477834,16,9053836,63.90874542
1256,Asia,Azerbaijan,AZE,2021-10-09,8962945,4877452,4085493,13,10247152,47.59812287
1277,North America,Bahamas,BHS,2021-10-08,224531,129121,100098,4,397948,32.44670158
1495,Asia,Bahrain,BHR,2021-10-09,2651709,1167980,1127864,0,1761340,66.31201245
1621,Asia,Bangladesh,BGD,2021-10-09,53280648,35513117,17767531,40,166756932,21.29633627
1771,North America,Barbados,BRB,2021-10-06,249944,140159,109785,2,287815,48.69760089
1792,Europe,Belarus,BLR,2021-10-03,3862369,2234696,1627673,14,9440895,23.67038295
2075,Europe,Belgium,BEL,2021-10-07,16680688,8618126,8451042,13,11644852,74.00803376
2138,North America,Belize,BLZ,2021-10-06,344463,199932,144531,4,406984,49.12527274
2146,Africa,Benin,BEN,2021-09-30,247674,226269,21405,5,12544004,1.80380204
2180,North America,Bermuda,BMU,2021-10-08,87723,44573,43150,5,62090,71.78772749
2203,Asia,Bhutan,BTN,2021-10-03,1083271,584977,498294,0,782279,74.77856366
2349,South America,Bolivia (Plurinational State of),BOL,2021-10-07,6931689,4357421,3465762,4,11878180,36.68424792
2365,Europe,Bosnia and Herzegovina,BIH,2021-09-29,1242203,734195,508008,34,3257772,22.53672142
2390,Africa,Botswana,BWA,2021-10-07,690001,444442,245559,0,2409871,18.44256394
2591,South America,Brazil,BRA,2021-10-09,248201579,154202574,98653914,0,214396662,71.92396214
2681,Asia,Brunei Darussalam,BRN,2021-10-06,526193,319711,206482,2,442671,72.22316348
2879,Europe,Bulgaria,BGR,2021-08-17,2176168,1089066,1087102,32,6882066,15.82469567
2882,Africa,Burkina Faso,BFA,2021-09-22,254545,234490,168141,0,21665633,1.082313173
3105,Asia,Cambodia,KHM,2021-10-07,24448071,13456872,11136261,13,17010623,79.108637
3134,Africa,Cameroon,CMR,2021-09-29,469341,385057,84284,91,27416508,1.40447135
3411,North America,Canada,CAN,2021-10-09,57019892,29621037,27398855,0,38160764,77.62170852
3437,Africa,Cabo Verde,CPV,2021-09-30,420246,286914,142748,1,563554,50.91153643
3523,North America,Cayman Islands,CYM,2021-10-08,108614,55530,55530,0,66497,83.50752666
3525,Africa,Central African Republic,CAF,2021-09-30,207004,197103,9901,0,4944930,3.985961379
3540,Africa,Chad,TCD,2021-09-29,154042,123426,30616,0,17053707,0.723748801
3809,South America,Chile,CHL,2021-10-08,33348997,15909833,14213792,21,19242590,82.68030967
3812,Asia,China,CHN,2021-09-18,2174043000,1100842000,1022207000,0,1445584690,76.152024
3977,South America,Colombia,COL,2021-10-07,42349272,27587609,18096506,30,51380341,53.69292703
3989,Africa,Comoros,COM,2021-09-29,352635,190637,162098,0,893834,21.32800945
3996,Oceania,Cook Islands,COK,2021-10-05,22536,11404,11132,0,17565,64.9245659
4037,North America,Costa Rica,CRI,2021-10-04,5760293,3470013,2290280,0,5151682,67.35689431
4224,Europe,Croatia,HRV,2021-10-09,3486177,1852552,1735022,11,4074922,45.46226897
4350,North America,Cuba,CUB,2021-10-07,22352125,9593695,5769198,40,11315124,84.78647693
4507,North America,Curaçao,CUW,2021-10-09,188751,98610,90141,0,165005,59.7618254
4615,Asia,Cyprus,CYP,2021-10-07,1176888,597414,560123,1,1217965,49.05017796
4878,Europe,Denmark,DNK,2021-10-07,8797923,4460485,4383736,1,5819302,76.64982845
4890,Africa,Djibouti,DJI,2021-09-30,92097,66010,26087,0,1006121,6.560841092
4920,North America,Dominica,DMA,2021-10-08,48091,26294,21797,2,72167,36.43493564
5087,North America,Dominican Republic,DOM,2021-10-08,12098704,6123862,4964932,7,10983518,55.75501401
5316,South America,Ecuador,ECU,2021-09-30,20896804,11350433,9918613,15,17958250,63.20456058
5353,Africa,Egypt,EGY,2021-09-30,16959764,11113946,5845818,31,104802240,10.60468364
5457,North America,El Salvador,SLV,2021-10-07,7891779,4173627,3544315,15,6527506,63.93907566
5503,Africa,Equatorial Guinea,GNQ,2021-10-06,403814,232116,171698,0,1463147,15.86416129
5781,Europe,Estonia,EST,2021-10-09,1387729,765305,622424,3,1324771,57.76885213
5805,Africa,Ethiopia,ETH,2021-10-07,3851109,2943541,907568,32,118699654,2.47982273
5807,South America,Falkland Islands (Malvinas),FLK,2021-04-14,4407,2632,1775,0,3533,74.49759411
5826,Oceania,Fiji,FJI,2021-10-05,1055883,593442,462441,1,904666,65.59791127
6040,Europe,Finland,FIN,2021-10-09,7764939,4158827,3606112,0,5550638,74.9252068
6305,Europe,France,FRA,2021-10-07,95934740,50555192,44927078,29,65471315,77.21731571
6341,Oceania,French Polynesia,PYF,2021-10-05,294961,153079,141882,0,282944,54.10222518
6371,Africa,Gabon,GAB,2021-10-07,186365,105903,80462,3,2294043,4.616434827
6384,Africa,Gambia,GMB,2021-09-29,208379,184817,171987,3,2506822,7.372561753
6498,Asia,Georgia,GEO,2021-10-09,1862753,998444,864309,29,3976970,25.10564576
6784,Europe,Germany,DEU,2021-10-08,108987536,56970515,54234240,86,83936603,67.8732674
6791,Africa,Ghana,GHA,2021-10-07,2189552,1369515,820037,0,31918782,4.290624248
6927,Europe,Gibraltar,GIB,2021-10-08,79910,39955,39683,0,33698,118.5678675
7175,Europe,Greece,GRC,2021-10-09,12296873,6496970,6243934,27,10356251,62.73476763
7269,North America,Greenland,GRL,2021-10-08,76319,39936,36383,0,56877,70.21467377
7302,North America,Grenada,GRD,2021-10-01,58985,34535,24450,4,113125,30.5281768
7488,North America,Guatemala,GTM,2021-10-08,7573644,4805693,2767951,51,18344274,26.19723735
7582,Africa,Guinea,GIN,2021-10-05,1857641,1256095,601546,2,13599422,9.236385193
7588,Africa,Guinea-Bissau,GNB,2021-09-22,94715,87231,7484,0,2028952,4.299313143
7639,South America,Guyana,GUY,2021-10-07,583394,365274,218120,8,791361,46.15769541
7672,North America,Haiti,HTI,2021-10-02,75220,52788,22773,0,11581128,0.455810522
7699,North America,Honduras,HND,2021-10-08,5817602,3336972,2481005,36,10107713,33.01411506
7833,Europe,Hungary,HUN,2021-09-28,12111107,5884183,5640410,8,9626503,61.12482383
7936,Europe,Iceland,ISL,2021-10-07,558483,282036,277210,0,343974,81.99340648
8164,Asia,India,IND,2021-10-09,943033918,679245181,263788737,248,1397204422,48.61458855
8384,Asia,Indonesia,IDN,2021-10-09,156281958,99373294,56908664,52,277166576,35.85327475
8415,Asia,Iran (Islamic Republic of),IRN,2021-09-27,51950783,36303822,15646961,288,85316141,42.55211449
8424,Asia,Iraq,IRQ,2021-09-26,7608508,4676216,2932292,33,41453791,11.28055092
8593,Europe,Ireland,IRL,2021-10-05,7238787,3777477,3697101,0,4995226,75.62174364
8751,Europe,Isle of Man,IMN,2021-10-08,129488,65483,64005,2,85410,76.66900831
9030,Asia,Israel,ISR,2021-10-09,15591406,6178840,5679653,7,8827664,69.99405505
9309,Europe,Italy,ITA,2021-10-09,86201755,45737346,41649050,30,60344909,75.79321397
9345,North America,Jamaica,JAM,2021-10-08,816569,546125,302839,21,2976879,18.34555587
9523,Asia,Japan,JPN,2021-10-07,172127058,92174332,79952726,30,125931545,73.19399758
9638,Asia,Jordan,JOR,2021-10-09,7137487,3776430,3361057,6,10294902,36.682525
9799,Asia,Kazakhstan,KAZ,2021-10-09,14696554,7831773,6864781,43,19056559,41.09751923
9914,Africa,Kenya,KEN,2021-10-07,4111317,3093399,1017918,25,55330535,5.590762858
9918,Oceania,Kiribati,KIR,2021-10-05,45402,37643,7759,0,121910,30.87769666
9923,Asia,Kuwait,KWT,2021-07-03,2375455,1452148,923307,16,4346874,33.4067194
10000,Asia,Kyrgyzstan,KGZ,2021-10-09,1527107,869834,655958,2,6657653,13.06517477
10068,Asia,Lao People's Democratic Republic,LAO,2021-09-07,4402770,2560372,1842398,0,7408448,34.56016699
10349,Europe,Latvia,LVA,2021-10-08,1687707,950757,887271,4,1861559,51.07315965
10546,Asia,Lebanon,LBN,2021-10-09,3020555,1661293,1359262,4,6761278,24.57069507
10551,Africa,Lesotho,LSO,2021-09-29,359980,324686,316384,0,2163945,15.00435547
10559,Africa,Liberia,LBR,2021-10-06,93617,84482,9135,0,5215090,1.619952868
10570,Africa,Libya,LBY,2021-10-07,1666086,1413069,253017,10,6982239,20.23804971
10819,Europe,Liechtenstein,LIE,2021-10-07,46928,24604,22995,0,38250,64.32418301
11084,Europe,Lithuania,LTU,2021-10-09,3273107,1765873,1634731,30,2680648,65.87485563
11159,Europe,Luxembourg,LUX,2021-09-16,777109,414505,399522,0,637402,65.03038899
11160,Africa,Madagascar,MDG,2021-09-20,381633,197001,184632,0,28635618,0.687957913
11238,Africa,Malawi,MWI,2021-10-07,1092540,847103,503916,1,19794481,4.279490834
11464,Asia,Malaysia,MYS,2021-10-09,45521196,24425756,21207610,78,32891105,74.26249741
11632,Asia,Maldives,MDV,2021-10-06,737010,392887,344123,0,544859,72.10801327
11653,Africa,Mali,MLI,2021-10-01,413563,318655,240321,0,21027067,1.515451489
11899,Europe,Malta,MLT,2021-09-27,818593,420499,420429,0,443198,94.87836136
11922,Africa,Mauritania,MRT,2021-09-09,306666,285121,21545,6,4810524,5.927025829
11941,Africa,Mauritius,MUS,2021-10-07,1686047,870130,815917,6,1273847,68.30726139
12183,North America,Mexico,MEX,2021-10-08,106730702,66225915,48166370,714,130638732,50.69393585
12274,Europe,Republic of Moldova,MDA,2021-08-06,1089888,561055,528833,4,4021120,13.95270472
12297,Europe,Monaco,MCO,2021-09-16,49980,26672,23308,0,39511,67.5052517
12438,Asia,Mongolia,MNG,2021-10-07,4385371,2252459,2132912,15,3343679,67.36469021
12630,Europe,Montenegro,MNE,2021-10-09,472623,250063,222560,7,628053,39.81558881
12650,North America,Montserrat,MSR,2021-09-24,2871,1483,1388,0,4977,29.79706651
12819,Africa,Morocco,MAR,2021-10-02,41995999,22748069,19247930,23,37467160,60.71468721
12834,Africa,Mozambique,MOZ,2021-09-14,3644423,1903730,1740693,2,32419372,5.872198882
12844,Asia,Myanmar,MMR,2021-10-02,12263702,8390746,3872956,46,54917300,15.27887569
12961,Africa,Namibia,NAM,2021-10-07,472404,276431,195973,3,2600388,10.63037516
12966,Oceania,Nauru,NRU,2021-08-31,14863,7612,7251,0,10876,69.98896653
13076,Asia,Nepal,NPL,2021-10-09,14574219,8127262,6446957,11,29812192,27.26153783
13101,Europe,Netherlands,NLD,2021-07-18,19095198,11920571,7959952,0,17183762,69.37113654
13133,Oceania,New Caledonia,NCL,2021-10-05,251551,153060,98491,7,288943,52.97238556
13361,Oceania,New Zealand,NZL,2021-10-07,5621079,3400750,2220329,0,4871720,69.80594123
13371,North America,Nicaragua,NIC,2021-10-08,999990,671784,328206,0,6724539,9.990037979
13382,Africa,Niger,NER,2021-09-29,533899,405978,127921,0,25393560,1.598743934
13409,Africa,Nigeria,NGA,2021-10-07,7130171,4963985,2166186,0,212893105,2.331679553
13411,Oceania,Niue,NIU,2021-08-02,2352,1202,1150,0,1619,74.2433601
13507,Europe,North Macedonia,MKD,2021-10-08,1540027,794612,745415,20,2082347,38.15944221
13782,Europe,Norway,NOR,2021-10-07,7868510,4181765,3686745,1,5478570,76.32949839
13837,Asia,Oman,OMN,2021-09-28,4946987,2896271,2050716,0,5258262,55.08038588
13888,Asia,Pakistan,PAK,2021-10-07,89719686,63046740,32723061,39,226412717,27.84593588
13927,Asia,"occupied Palestinian territory, including east Jerusalem",PSE,2021-06-03,590487,359349,231138,4,5256704,6.836013593
14103,North America,Panama,PAN,2021-10-09,5260471,2947820,2309258,0,4400317,66.99108269
14111,Oceania,Papua New Guinea,PNG,2021-10-05,194962,133741,61221,0,9167666,1.458833688
14303,South America,Paraguay,PRY,2021-10-08,4836914,2838640,1998274,1,7244173,39.18514922
14543,South America,Peru,PER,2021-10-07,28915760,16589421,12326339,18,33468739,49.56691377
14621,Asia,Philippines,PHL,2021-09-09,37728114,25195827,16138934,174,111462975,22.60466043
14840,Europe,Poland,POL,2021-10-04,37666261,19885124,19540515,0,37781373,52.63208407
15079,Europe,Portugal,PRT,2021-10-04,16042424,8957792,8729560,7,10159436,88.17213869
15204,Asia,Qatar,QAT,2021-09-11,4578600,2360308,2218292,0,2945850,80.1231563
15461,Europe,Romania,ROU,2021-10-08,10675095,6049704,5506187,385,19096303,31.67997491
15668,Europe,Russian Federation,RUS,2021-10-09,94289464,49353510,44935954,968,145906228,33.82549921
15691,Africa,Rwanda,RWA,2021-10-05,3822082,2135104,1686978,5,13367614,15.97221464
15731,North America,Saint Kitts and Nevis,KNA,2021-10-08,48755,25946,22809,0,53544,48.45734349
15816,North America,Saint Lucia,LCA,2021-10-09,83448,47703,35745,0,184607,25.84029858
15835,North America,Saint Vincent and the Grenadines,VCT,2021-10-02,34386,20830,13556,0,111263,18.72140784
15849,Oceania,Samoa,WSM,2021-09-28,172316,114698,57618,0,200563,57.18801574
15892,Europe,San Marino,SMR,2021-06-10,43471,21768,21703,0,34017,63.99153364
15908,Africa,Sao Tome and Principe,STP,2021-10-02,94640,68443,26197,1,224610,30.47192912
16013,Asia,Saudi Arabia,SAU,2021-10-09,43335663,23631492,19704171,3,35493691,66.57941548
16038,Africa,Senegal,SEN,2021-10-07,1828842,1263844,564998,2,17324256,7.295228147
16181,Europe,Serbia,SRB,2021-10-07,6655878,3061127,2929468,50,8686473,35.24016019
16232,Africa,Seychelles,SYC,2021-09-16,148402,77311,71091,4,99012,78.08245465
16249,Africa,Sierra Leone,SLE,2021-09-29,236465,192558,43907,0,8187825,2.351760083
16339,Asia,Singapore,SGP,2021-10-08,9613475,4711200,4600348,3,5910351,79.71100194
16603,Europe,Slovakia,SVK,2021-10-08,4733627,2465697,2267930,15,5460825,45.15246323
16890,Europe,Slovenia,SVN,2021-10-09,2177417,1134963,1042454,0,2078724,54.59902325
16901,Oceania,Solomon Islands,SLB,2021-10-05,130204,104760,25444,0,708862,14.77861699
16929,Africa,Somalia,SOM,2021-09-29,495041,259041,236000,0,16491497,1.570754917
17046,Africa,South Africa,ZAF,2021-10-08,18735127,13302682,9686443,123,60249766,22.079226
17271,Asia,Republic of Korea,KOR,2021-10-08,68772587,39909124,30322197,10,51317712,77.76871268
17285,Africa,South Sudan,SSD,2021-10-01,108602,77546,31053,2,11435210,0.678133589
17472,Europe,Spain,ESP,2021-10-05,70587034,37755682,36802767,13,46741179,80.7760583
17617,Asia,Sri Lanka,LKA,2021-10-09,26939753,14684749,12255004,29,21521224,68.23380027
17630,Africa,Sudan,SDN,2021-09-19,1499982,649062,581846,0,45208847,1.435696867
17759,South America,Suriname,SUR,2021-10-08,414312,235849,178463,9,593249,39.7554821
